timestamp,voltage,current,temperature,soc,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_v8,delta_v,driving_mode,fault_label,,,,
00:12.9,26.35,-3.63,32.6,35.3,3.158,3.321,3.316,3.317,3.319,3.282,3.32,3.319,0.163,3,0,,,,
00:14.0,26.34,-3.45,32.7,35.2,3.158,3.321,3.316,3.317,3.319,3.282,3.32,3.319,0.163,3,0,,,,
00:15.0,26.34,-3.54,32.6,35.2,3.157,3.321,3.315,3.316,3.319,3.282,3.32,3.318,0.164,3,0,,,,
00:16.0,26.34,-3.54,32.5,35.2,3.155,3.32,3.314,3.316,3.319,3.281,3.319,3.318,0.165,3,0,,,,
00:17.0,26.34,-3.54,32.6,35.2,3.154,3.32,3.314,3.315,3.318,3.281,3.319,3.318,0.166,3,0,,,,
00:18.1,26.33,-3.45,32.7,35.1,3.154,3.319,3.314,3.315,3.318,3.281,3.319,3.317,0.165,3,0,,,,
00:19.1,26.33,-3.54,32.6,35.1,3.153,3.319,3.314,3.315,3.318,3.28,3.319,3.317,0.166,3,0,,,,
00:20.1,26.33,-3.45,32.6,35.1,3.152,3.319,3.314,3.314,3.317,3.28,3.319,3.317,0.167,3,0,,,,
00:21.1,26.33,-3.54,32.5,35.1,3.152,3.319,3.314,3.314,3.317,3.28,3.319,3.317,0.167,3,0,,,,
00:22.1,26.32,-3.63,32.6,35,3.151,3.319,3.314,3.314,3.317,3.28,3.319,3.316,0.168,3,0,,,,
00:23.2,26.32,-3.45,32.5,35,3.15,3.318,3.313,3.314,3.317,3.279,3.318,3.316,0.168,3,0,,,,
00:24.2,26.32,-3.45,32.6,35,3.148,3.318,3.312,3.314,3.317,3.277,3.318,3.316,0.17,3,0,,,,
00:25.2,26.31,-3.54,32.6,34.9,3.148,3.318,3.312,3.313,3.316,3.276,3.318,3.316,0.17,3,0,,,,
00:26.3,26.31,-3.45,32.6,34.9,3.147,3.317,3.312,3.313,3.316,3.276,3.317,3.315,0.17,3,0,,,,
00:27.3,26.31,-3.45,32.5,34.9,3.147,3.317,3.312,3.313,3.316,3.276,3.317,3.315,0.17,3,0,,,,
00:28.3,26.31,-3.45,32.6,34.9,3.147,3.317,3.312,3.313,3.316,3.276,3.317,3.315,0.17,3,0,,,,
00:29.3,26.3,-3.54,32.6,34.8,3.146,3.317,3.311,3.313,3.315,3.275,3.317,3.315,0.171,3,0,,,,
00:30.4,26.3,-3.54,32.6,34.8,3.144,3.317,3.311,3.312,3.315,3.275,3.317,3.314,0.173,3,0,,,,
00:31.4,26.3,-3.63,32.7,34.8,3.143,3.316,3.311,3.312,3.314,3.274,3.316,3.314,0.173,3,0,,,,
00:32.4,26.29,-3.63,32.5,34.7,3.143,3.316,3.311,3.312,3.314,3.274,3.316,3.314,0.173,3,0,,,,
00:33.5,26.29,-3.63,32.5,34.7,3.141,3.316,3.31,3.312,3.314,3.273,3.315,3.313,0.175,3,0,,,,
00:34.5,26.29,-3.54,32.6,34.7,3.141,3.316,3.31,3.312,3.314,3.273,3.315,3.313,0.175,3,0,,,,
00:35.5,26.29,-3.54,32.7,34.7,3.139,3.315,3.31,3.311,3.313,3.273,3.315,3.313,0.176,3,0,,,,
00:36.5,26.28,-3.63,32.6,34.6,3.139,3.315,3.31,3.311,3.313,3.273,3.315,3.313,0.176,3,0,,,,
00:37.6,26.28,-3.63,32.7,34.6,3.138,3.315,3.309,3.311,3.313,3.272,3.315,3.313,0.177,3,0,,,,
00:38.6,26.28,-3.63,32.7,34.6,3.138,3.315,3.309,3.31,3.313,3.272,3.314,3.312,0.177,3,0,,,,
00:39.7,26.28,-3.54,32.5,34.6,3.136,3.314,3.309,3.31,3.313,3.271,3.314,3.312,0.178,3,0,,,,
00:40.7,26.27,-3.54,32.5,34.6,3.135,3.314,3.309,3.31,3.312,3.271,3.314,3.311,0.179,3,0,,,,
00:41.7,26.27,-3.54,32.6,34.6,3.135,3.314,3.309,3.31,3.312,3.271,3.314,3.311,0.179,3,0,,,,
00:42.7,26.27,-3.45,32.6,34.6,3.134,3.313,3.308,3.309,3.312,3.27,3.313,3.311,0.179,3,0,,,,
00:43.8,26.26,-3.54,32.6,34.5,3.134,3.313,3.308,3.309,3.312,3.27,3.313,3.311,0.179,3,0,,,,
00:44.8,26.26,-3.54,32.5,34.5,3.132,3.313,3.308,3.309,3.312,3.27,3.313,3.311,0.181,3,0,,,,
00:45.8,26.26,-3.54,32.6,34.5,3.131,3.312,3.307,3.308,3.311,3.269,3.313,3.31,0.182,3,0,,,,
00:46.8,26.25,-3.63,32.6,34.4,3.131,3.312,3.307,3.308,3.311,3.269,3.313,3.31,0.182,3,0,,,,
00:47.8,26.25,-3.54,32.7,34.4,3.129,3.312,3.307,3.308,3.31,3.269,3.312,3.31,0.183,3,0,,,,
00:48.9,26.25,-3.54,32.5,34.4,3.128,3.312,3.306,3.308,3.31,3.268,3.312,3.31,0.184,3,0,,,,
00:49.9,26.25,-3.54,32.6,34.4,3.128,3.312,3.306,3.308,3.31,3.268,3.312,3.31,0.184,3,0,,,,
00:50.9,26.24,-3.45,32.6,34.3,3.126,3.311,3.306,3.307,3.31,3.267,3.311,3.309,0.185,3,0,,,,
00:52.0,26.24,-3.45,32.5,34.3,3.125,3.311,3.306,3.307,3.309,3.267,3.31,3.309,0.186,3,0,,,,
00:53.0,26.24,-3.45,32.7,34.3,3.125,3.311,3.306,3.307,3.309,3.267,3.31,3.309,0.186,3,0,,,,
00:54.0,26.23,-3.36,32.6,34.2,3.123,3.31,3.305,3.306,3.309,3.266,3.31,3.308,0.187,3,0,,,,
00:55.0,26.23,-3.36,32.6,34.2,3.122,3.31,3.305,3.306,3.308,3.266,3.31,3.308,0.188,3,0,,,,
00:56.1,26.23,-3.54,32.6,34.2,3.122,3.31,3.305,3.306,3.308,3.266,3.31,3.308,0.188,3,0,,,,
00:57.1,26.22,-3.45,32.6,34.1,3.12,3.31,3.304,3.306,3.309,3.266,3.31,3.307,0.19,3,0,,,,
00:58.2,26.22,-3.63,32.6,34.1,3.119,3.309,3.305,3.305,3.308,3.265,3.309,3.307,0.19,3,0,,,,
00:59.2,26.22,-3.45,32.6,34.1,3.116,3.309,3.304,3.305,3.308,3.265,3.309,3.307,0.193,3,0,,,,
01:00.2,26.22,-3.45,32.7,34.1,3.116,3.309,3.304,3.305,3.308,3.265,3.309,3.307,0.193,3,0,,,,
01:01.2,26.21,-3.45,32.6,34,3.114,3.308,3.303,3.304,3.307,3.264,3.308,3.306,0.194,3,0,,,,
01:02.3,26.21,-3.36,32.6,34,3.113,3.308,3.303,3.304,3.307,3.263,3.308,3.306,0.195,3,0,,,,
01:03.3,26.15,-3.54,32.6,33.5,3.102,3.3,3.295,3.296,3.299,3.256,3.3,3.299,0.198,3,0,,,,
01:04.3,26.14,-3.89,32.5,33.4,3.102,3.3,3.295,3.296,3.299,3.256,3.3,3.299,0.198,3,0,,,,
01:05.4,26.13,-3.8,32.6,33.3,3.098,3.3,3.295,3.295,3.298,3.254,3.3,3.298,0.202,3,0,,,,
01:06.4,26.12,-3.89,32.6,33.2,3.094,3.298,3.293,3.294,3.297,3.252,3.298,3.297,0.204,3,0,,,,
01:07.5,26.12,-3.89,32.6,33.2,3.093,3.298,3.293,3.294,3.296,3.252,3.298,3.297,0.205,3,0,,,,
01:08.5,26.11,-3.8,32.5,33.1,3.091,3.298,3.292,3.293,3.296,3.251,3.298,3.296,0.207,3,0,,,,
01:09.5,26.11,-3.8,32.6,33.1,3.091,3.298,3.292,3.293,3.296,3.251,3.298,3.296,0.207,3,0,,,,
01:10.5,26.1,-3.8,32.5,33,3.089,3.297,3.292,3.293,3.296,3.251,3.297,3.296,0.208,3,0,,,,
01:11.5,26.1,-3.89,32.6,33,3.086,3.296,3.291,3.292,3.295,3.25,3.296,3.295,0.21,3,0,,,,
01:12.5,26.09,-3.89,32.5,32.9,3.084,3.296,3.291,3.292,3.294,3.249,3.296,3.294,0.212,3,0,,,,
01:13.5,26.09,-3.8,32.6,32.9,3.084,3.296,3.291,3.292,3.294,3.249,3.296,3.294,0.212,3,0,,,,
01:14.6,26.08,-3.89,32.6,32.9,3.081,3.295,3.29,3.291,3.293,3.248,3.295,3.293,0.214,3,0,,,,
01:15.6,26.08,-3.89,32.5,32.9,3.08,3.295,3.289,3.29,3.293,3.247,3.295,3.293,0.215,3,0,,,,
01:16.6,26.08,-4.07,32.5,32.9,3.078,3.295,3.289,3.29,3.292,3.247,3.295,3.293,0.217,3,0,,,,
01:17.7,26.07,-3.89,32.6,32.8,3.078,3.295,3.289,3.29,3.292,3.247,3.295,3.293,0.217,3,0,,,,
01:18.7,26.07,-3.89,32.6,32.8,3.075,3.294,3.288,3.29,3.291,3.246,3.294,3.292,0.219,3,0,,,,
01:19.8,26.06,-3.89,32.5,32.7,3.074,3.293,3.288,3.289,3.291,3.245,3.293,3.292,0.219,3,0,,,,
01:20.8,26.06,-3.89,32.5,32.7,3.074,3.293,3.288,3.289,3.291,3.245,3.293,3.292,0.219,3,0,,,,
01:21.9,26.05,-3.8,32.7,32.6,3.07,3.292,3.287,3.288,3.29,3.244,3.293,3.291,0.223,3,0,,,,
01:22.9,26.05,-3.89,32.6,32.6,3.068,3.292,3.287,3.288,3.29,3.243,3.292,3.29,0.224,3,0,,,,
01:23.9,26.04,-3.89,32.6,32.5,3.067,3.292,3.286,3.287,3.29,3.243,3.292,3.29,0.225,3,0,,,,
01:24.9,26.04,-3.8,32.6,32.5,3.067,3.292,3.286,3.287,3.29,3.243,3.292,3.29,0.225,3,0,,,,
01:26.0,26.03,-3.89,32.5,32.4,3.063,3.291,3.286,3.287,3.289,3.242,3.291,3.289,0.228,3,0,,,,
01:27.0,26.03,-3.8,32.6,32.4,3.063,3.291,3.286,3.287,3.289,3.242,3.291,3.289,0.228,3,0,,,,
01:28.1,26.02,-3.89,32.6,32.3,3.06,3.29,3.285,3.286,3.288,3.241,3.29,3.289,0.23,3,0,,,,
01:29.1,26.02,-3.8,32.5,32.3,3.06,3.29,3.285,3.286,3.288,3.241,3.29,3.289,0.23,3,0,,,,
01:30.1,26.02,-3.89,32.5,32.3,3.056,3.289,3.284,3.285,3.288,3.24,3.289,3.288,0.233,3,0,,,,
01:31.2,26.01,-3.89,32.6,32.2,3.056,3.289,3.284,3.285,3.288,3.24,3.289,3.288,0.233,3,0,,,,
01:32.2,26,-3.8,32.7,32.1,3.055,3.289,3.284,3.285,3.287,3.239,3.289,3.287,0.234,3,0,,,,
01:33.2,26,-3.89,32.6,32.1,3.051,3.288,3.282,3.284,3.286,3.238,3.288,3.287,0.237,3,0,,,,
01:34.2,25.99,-3.71,32.6,32.1,3.049,3.288,3.282,3.283,3.286,3.237,3.288,3.286,0.239,3,0,,,,
01:35.3,25.99,-3.8,32.7,32.1,3.049,3.288,3.282,3.283,3.286,3.237,3.288,3.286,0.239,3,0,,,,
01:36.3,25.99,-3.89,32.5,32.1,3.047,3.287,3.282,3.283,3.285,3.237,3.288,3.286,0.241,3,0,,,,
01:37.4,25.98,-3.98,32.6,32,3.044,3.286,3.281,3.282,3.284,3.236,3.287,3.285,0.243,3,0,,,,
01:38.4,25.98,-3.8,32.6,32,3.044,3.286,3.281,3.282,3.284,3.236,3.287,3.285,0.243,3,0,,,,
01:39.5,25.97,-3.71,32.6,31.9,3.038,3.286,3.28,3.282,3.284,3.235,3.286,3.285,0.248,3,0,,,,
01:40.5,25.96,-3.8,32.5,31.8,3.036,3.285,3.28,3.281,3.283,3.234,3.286,3.284,0.25,3,0,,,,
01:41.6,25.96,-3.89,32.7,31.8,3.034,3.285,3.28,3.281,3.283,3.234,3.285,3.284,0.251,3,0,,,,
01:42.6,25.96,-3.89,32.7,31.8,3.034,3.285,3.28,3.281,3.283,3.234,3.285,3.284,0.251,3,0,,,,
01:43.6,25.95,-3.8,32.5,31.7,3.03,3.284,3.279,3.28,3.282,3.233,3.285,3.283,0.255,3,0,,,,
01:44.6,25.95,-3.8,32.6,31.7,3.03,3.284,3.279,3.28,3.282,3.233,3.285,3.283,0.255,3,0,,,,
01:45.6,25.94,-3.8,32.6,31.6,3.026,3.284,3.278,3.279,3.281,3.232,3.284,3.282,0.258,3,0,,,,
01:46.7,25.94,-3.71,32.6,31.6,3.024,3.283,3.278,3.279,3.281,3.231,3.284,3.282,0.26,3,0,,,,
01:47.7,25.93,-3.71,32.6,31.5,3.024,3.283,3.278,3.279,3.281,3.231,3.284,3.282,0.26,3,0,,,,
01:48.7,25.93,-3.8,32.6,31.5,3.022,3.282,3.278,3.277,3.28,3.231,3.283,3.281,0.261,3,0,,,,
01:49.8,25.92,-3.89,32.6,31.4,3.018,3.282,3.277,3.277,3.28,3.23,3.282,3.281,0.264,3,0,,,,
01:50.8,25.91,-3.8,32.5,31.3,3.016,3.281,3.277,3.276,3.279,3.229,3.281,3.281,0.265,3,0,,,,
